config,fid_pooled,n_generated,n_seeds
celeb1,0.42991963028907776,3,3
celeb3_unconditional,4.298079490661621,9,3
cifar1_N10,2.3286051750183105,3,3
cifar1_N50,2.120131731033325,3,3
cifar1_N5,2.4200470447540283,3,3
cifar1_dh05,2.2678070068359375,3,3
cifar1_dh2,2.4146368503570557,3,3
cifar1_dh4,2.8605711460113525,3,3
cifar1,2.390920877456665,3,3
cifar1_sigma10,2.667835235595703,3,3
cifar1_sigma25,8.981505393981934,3,3
cifar1_sigma3,2.862600326538086,3,3
cifar1_tol1e10,2.2559309005737305,3,3
cifar1_tol1e4,2.364907741546631,3,3
cifar1_tol1e6,2.5041933059692383,3,3
cifar3_conditional,1.528779149055481,9,3
inet3_conditional,0.6503249406814575,9,3
ALL_64x64,1.4322112798690796,21,9
ALL_32x32,1.3837964534759521,48,42
