experiment,fid,n_generated,n_train
celeb1_seed123,ERROR,1,1
celeb1_seed42,ERROR,1,1
celeb1_seed9,ERROR,1,1
celeb3_unconditional_seed123,3.9079015254974365,3,3
celeb3_unconditional_seed42,4.955004692077637,3,3
celeb3_unconditional_seed9,4.842763423919678,3,3
cifar1_N10_seed123,ERROR,1,1
cifar1_N10_seed42,ERROR,1,1
cifar1_N10_seed9,ERROR,1,1
cifar1_N50_seed123,ERROR,1,1
cifar1_N50_seed42,ERROR,1,1
cifar1_N50_seed9,ERROR,1,1
cifar1_N5_seed123,ERROR,1,1
cifar1_N5_seed42,ERROR,1,1
cifar1_N5_seed9,ERROR,1,1
cifar1_dh05_seed123,ERROR,1,1
cifar1_dh05_seed42,ERROR,1,1
cifar1_dh05_seed9,ERROR,1,1
cifar1_dh2_seed123,ERROR,1,1
cifar1_dh2_seed42,ERROR,1,1
cifar1_dh2_seed9,ERROR,1,1
cifar1_dh4_seed123,ERROR,1,1
cifar1_dh4_seed42,ERROR,1,1
cifar1_dh4_seed9,ERROR,1,1
cifar1_seed123,ERROR,1,1
cifar1_seed42,ERROR,1,1
cifar1_seed9,ERROR,1,1
cifar1_sigma10_seed123,ERROR,1,1
cifar1_sigma10_seed42,ERROR,1,1
cifar1_sigma10_seed9,ERROR,1,1
cifar1_sigma25_seed123,ERROR,1,1
cifar1_sigma25_seed42,ERROR,1,1
cifar1_sigma25_seed9,ERROR,1,1
cifar1_sigma3_seed123,ERROR,1,1
cifar1_sigma3_seed42,ERROR,1,1
cifar1_sigma3_seed9,ERROR,1,1
cifar1_tol1e10_seed123,ERROR,1,1
cifar1_tol1e10_seed42,ERROR,1,1
cifar1_tol1e10_seed9,ERROR,1,1
cifar1_tol1e4_seed123,ERROR,1,1
cifar1_tol1e4_seed42,ERROR,1,1
cifar1_tol1e4_seed9,ERROR,1,1
cifar1_tol1e6_seed123,ERROR,1,1
cifar1_tol1e6_seed42,ERROR,1,1
cifar1_tol1e6_seed9,ERROR,1,1
cifar3_conditional_seed123,0.16957944631576538,3,3
cifar3_conditional_seed42,0.15559041500091553,3,3
cifar3_conditional_seed9,0.07797412574291229,3,3
inet3_conditional_seed123,0.5701985955238342,3,3
inet3_conditional_seed42,0.8861400485038757,3,3
inet3_conditional_seed9,0.43793877959251404,3,3
